adv_no,price,min,max
11277940419476131840,7.75,2000.0,7800.0
11284070273542553600,7.75,1000.0,50000.0
11278550431152836608,7.76,100.0,50000.0
11283442438846304256,7.76,100.0,50000.0
11233218979545358336,7.76,1000.0,50000.0
11284338657430233088,7.76,1200.0,100000.0
